round,investment,return_pct,game_id,return,investment_bin,return_pct_bin,prev_return_pct,prev_investment,return_low,investment_low,prev_return_low,prev_investment_low,gain_t,R_t,cumPnL
1,12,0.388888889,1,14.000000004,"(7.5,12.5]","(0.325,0.51]",0.5,10,FALSE,FALSE,FALSE,FALSE,30.000000012,1.4285714285714286,30.000000011999997
2,14,0.333333333,1,13.999999986,"(12.5,17.5]","(0.325,0.51]",0.388888889,12,FALSE,FALSE,FALSE,FALSE,27.999999958000004,2.0408163265306123,48.999999966400004
3,9,0.222222222,1,5.999999994,"(7.5,12.5]","(0.125,0.325]",0.333333333,14,TRUE,TRUE,FALSE,FALSE,8.999999982000002,2.9154518950437325,43.29999995848
4,14,0,1,0,"(12.5,17.5]","(-0.1,0.125]",0.222222222,9,TRUE,FALSE,TRUE,TRUE,-14,4.164931278633904,16.309999970935998
5,5,0.266666667,1,4.000000005,"(2.5,7.5]","(0.125,0.325]",0,14,TRUE,TRUE,TRUE,FALSE,7.000000015000001,5.949901826619863,18.4169999946552
6,7,0,1,0,"(2.5,7.5]","(-0.1,0.125]",0.266666667,5,TRUE,TRUE,TRUE,TRUE,-7,8.49985975231409,5.89189999625864
7,10,0.266666667,1,8.00000001,"(7.5,12.5]","(0.125,0.325]",0,7,TRUE,FALSE,TRUE,TRUE,14.000000030000002,12.14265678902013,18.12433002738105
8,6,0.166666667,1,3.0000000059999996,"(2.5,7.5]","(0.125,0.325]",0.266666667,10,TRUE,TRUE,TRUE,FALSE,3.000000017999998,17.34665255574304,15.687031037166731
9,4,0,1,0,"(2.5,7.5]","(-0.1,0.125]",0.166666667,6,TRUE,TRUE,TRUE,TRUE,-4,24.780932222490062,6.980921726016711
10,5,0,1,0,"(2.5,7.5]","(-0.1,0.125]",0,4,TRUE,TRUE,TRUE,TRUE,-5,35.40133174641438,-0.11335479178830195
1,5,0.066666667,2,1.000000005,"(2.5,7.5]","(-0.1,0.125]",0.5,10,TRUE,TRUE,FALSE,FALSE,-1.999999985,1.4285714285714286,-1.9999999849999999
2,8,0.416666667,2,10.000000008,"(7.5,12.5]","(0.325,0.51]",0.066666667,5,FALSE,TRUE,TRUE,TRUE,22.000000024000002,2.0408163265306123,20.6000000345
3,12,0.166666667,2,6.000000011999999,"(7.5,12.5]","(0.125,0.325]",0.416666667,8,TRUE,FALSE,FALSE,TRUE,6.000000035999996,2.9154518950437325,20.42000006014999
4,4,0.666666667,2,8.000000004,"(2.5,7.5]","(0.51,0.755]",0.166666667,12,FALSE,TRUE,TRUE,FALSE,20.000000012,4.164931278633904,34.294000054105
5,3,0,2,0,"(2.5,7.5]","(-0.1,0.125]",0.666666667,4,TRUE,TRUE,FALSE,TRUE,-3,5.949901826619863,21.005800037873495
6,4,0.416666667,2,5.000000004,"(2.5,7.5]","(0.325,0.51]",0,3,FALSE,TRUE,TRUE,TRUE,11.000000012000001,8.49985975231409,25.70406003851145
7,6,0.444444444,2,7.999999992,"(2.5,7.5]","(0.325,0.51]",0.416666667,4,FALSE,TRUE,FALSE,TRUE,17.999999976,12.14265678902013,35.992842002958014
8,5,0.4,2,6.000000000000001,"(2.5,7.5]","(0.325,0.51]",0.444444444,6,FALSE,TRUE,FALSE,TRUE,13.000000000000004,17.34665255574304,38.19498940207061
9,4,0.416666667,2,5.000000004,"(2.5,7.5]","(0.325,0.51]",0.4,5,FALSE,TRUE,FALSE,TRUE,11.000000012000001,24.780932222490062,37.73649259344943
10,7,0.476190476,2,9.999999996,"(2.5,7.5]","(0.325,0.51]",0.416666667,4,FALSE,TRUE,FALSE,TRUE,22.999999988,35.40133174641438,49.41554480341459
1,14,0.5,3,21,"(12.5,17.5]","(0.325,0.51]",0.5,10,FALSE,FALSE,FALSE,FALSE,49,1.4285714285714286,49
2,11,0,3,0,"(7.5,12.5]","(-0.1,0.125]",0.5,14,TRUE,FALSE,FALSE,FALSE,-11,2.0408163265306123,23.299999999999997
3,8,0.375,3,9,"(7.5,12.5]","(0.325,0.51]",0,11,FALSE,TRUE,TRUE,FALSE,19,2.9154518950437325,35.309999999999995
4,10,0,3,0,"(7.5,12.5]","(-0.1,0.125]",0.375,8,TRUE,FALSE,FALSE,TRUE,-10,4.164931278633904,14.716999999999997
5,5,0,3,0,"(2.5,7.5]","(-0.1,0.125]",0,10,TRUE,TRUE,TRUE,FALSE,-5,5.949901826619863,5.301899999999996
6,7,0,3,0,"(2.5,7.5]","(-0.1,0.125]",0,5,TRUE,TRUE,TRUE,TRUE,-7,8.49985975231409,-3.2886700000000033
7,3,0,3,0,"(2.5,7.5]","(-0.1,0.125]",0,7,TRUE,TRUE,TRUE,TRUE,-3,12.14265678902013,-5.302069000000002
8,0,0,3,0,"(-1,2.5]","(-0.1,0.125]",0,3,TRUE,TRUE,TRUE,TRUE,0,17.34665255574304,-3.7114483000000016
9,3,0.111111111,3,0.999999999,"(2.5,7.5]","(-0.1,0.125]",0,0,TRUE,TRUE,TRUE,TRUE,-2.999999804131903e-9,24.780932222490062,-2.598013813000001
10,3,0,3,0,"(2.5,7.5]","(-0.1,0.125]",0.111111111,3,TRUE,TRUE,TRUE,TRUE,-3,35.40133174641438,-4.8186096691
1,10,0.533333333,4,15.99999999,"(7.5,12.5]","(0.51,0.755]",0.5,10,FALSE,FALSE,FALSE,FALSE,37.99999997,1.4285714285714286,37.99999997
2,12,0.333333333,4,11.999999988,"(7.5,12.5]","(0.325,0.51]",0.533333333,10,FALSE,FALSE,FALSE,FALSE,23.999999964000004,2.0408163265306123,50.599999943
3,8,0.416666667,4,10.000000008,"(7.5,12.5]","(0.325,0.51]",0.333333333,12,FALSE,TRUE,FALSE,FALSE,22.000000024000002,2.9154518950437325,57.419999984099995
4,10,0.5,4,15,"(7.5,12.5]","(0.325,0.51]",0.416666667,8,FALSE,FALSE,FALSE,TRUE,35,4.164931278633904,75.19399998887
5,5,0,4,0,"(2.5,7.5]","(-0.1,0.125]",0.5,10,TRUE,TRUE,FALSE,FALSE,-5,5.949901826619863,47.635799992208995
6,8,0.166666667,4,4.000000008,"(7.5,12.5]","(0.125,0.325]",0,5,TRUE,TRUE,TRUE,TRUE,4.000000023999998,8.49985975231409,37.3450600185463
7,11,0.151515152,4,5.0000000159999995,"(7.5,12.5]","(0.125,0.325]",0.166666667,8,TRUE,FALSE,TRUE,TRUE,4.000000047999999,12.14265678902013,30.141542060982403
8,4,0,4,0,"(2.5,7.5]","(-0.1,0.125]",0.151515152,11,TRUE,TRUE,TRUE,FALSE,-4,17.34665255574304,17.09907944268768
9,2,0.333333333,4,1.999999998,"(-1,2.5]","(0.325,0.51]",0,4,FALSE,TRUE,TRUE,TRUE,3.9999999940000004,24.780932222490062,15.969355603881377
10,10,0.166666667,4,5.00000001,"(7.5,12.5]","(0.125,0.325]",0.333333333,2,TRUE,FALSE,FALSE,TRUE,5.000000029999999,35.40133174641438,16.178548952716962
1,13,0.512820513,5,20.000000007,"(12.5,17.5]","(0.51,0.755]",0.5,10,FALSE,FALSE,FALSE,FALSE,47.000000021000005,1.4285714285714286,47.000000021
2,15,0.666666667,5,30.000000015,"(12.5,17.5]","(0.51,0.755]",0.512820513,13,FALSE,FALSE,FALSE,FALSE,75.00000004500001,2.0408163265306123,107.9000000597
3,13,0.641025641,5,24.999999999,"(12.5,17.5]","(0.51,0.755]",0.666666667,15,FALSE,FALSE,FALSE,FALSE,61.999999997,2.9154518950437325,137.53000003878998
4,17,0.823529412,5,42.000000011999994,"(12.5,17.5]","(0.755,1.1]",0.641025641,13,FALSE,FALSE,FALSE,FALSE,109.00000003599999,4.164931278633904,205.271000063153
5,18,0.37037037,5,19.99999998,"(17.5,21]","(0.325,0.51]",0.823529412,17,FALSE,FALSE,FALSE,FALSE,41.999999939999995,5.949901826619863,185.68969998420707
6,13,0.256410256,5,9.999999984,"(12.5,17.5]","(0.125,0.325]",0.37037037,18,TRUE,FALSE,FALSE,FALSE,16.999999952000003,8.49985975231409,146.98278994094497
7,5,0.133333333,5,1.999999995,"(2.5,7.5]","(0.125,0.325]",0.256410256,13,TRUE,TRUE,TRUE,FALSE,0.9999999850000005,12.14265678902013,103.88795294366146
8,11,0.545454545,5,17.999999985,"(7.5,12.5]","(0.51,0.755]",0.133333333,5,FALSE,FALSE,TRUE,TRUE,42.99999995499999,17.34665255574304,115.72156701556301
9,5,0.066666667,5,1.000000005,"(2.5,7.5]","(-0.1,0.125]",0.545454545,11,TRUE,TRUE,FALSE,FALSE,-1.999999985,24.780932222490062,79.00509692589411
10,16,0.25,5,12,"(12.5,17.5]","(0.125,0.325]",0.066666667,5,TRUE,FALSE,TRUE,TRUE,20,35.40133174641438,75.30356784812587
1,8,0.208333333,6,4.999999992,"(7.5,12.5]","(0.125,0.325]",0.5,10,TRUE,TRUE,FALSE,FALSE,6.999999976000002,1.4285714285714286,6.999999976000002
2,10,0.166666667,6,5.00000001,"(7.5,12.5]","(0.125,0.325]",0.208333333,8,TRUE,FALSE,TRUE,TRUE,5.000000029999999,2.0408163265306123,9.900000013199998
3,5,0.266666667,6,4.000000005,"(2.5,7.5]","(0.125,0.325]",0.166666667,10,TRUE,TRUE,TRUE,FALSE,7.000000015000001,2.9154518950437325,13.93000002424
4,4,0.5,6,6,"(2.5,7.5]","(0.325,0.51]",0.266666667,5,FALSE,TRUE,TRUE,TRUE,14,4.164931278633904,23.751000016968
5,10,0.333333333,6,9.999999990000001,"(7.5,12.5]","(0.325,0.51]",0.5,4,FALSE,FALSE,FALSE,TRUE,19.999999970000005,5.949901826619863,36.6256999818776
6,8,0.375,6,9,"(7.5,12.5]","(0.325,0.51]",0.333333333,10,FALSE,TRUE,FALSE,FALSE,19,8.49985975231409,44.63798998731433
7,8,0.25,6,6,"(7.5,12.5]","(0.125,0.325]",0.375,8,TRUE,TRUE,FALSE,TRUE,10,12.14265678902013,41.246592991120025
8,10,0.066666667,6,2.00000001,"(7.5,12.5]","(-0.1,0.125]",0.25,8,TRUE,FALSE,TRUE,TRUE,-3.99999997,17.34665255574304,24.872615123784016
9,6,0,6,0,"(2.5,7.5]","(-0.1,0.125]",0.066666667,10,TRUE,TRUE,TRUE,FALSE,-6,24.780932222490062,11.41083058664881
10,1,0,6,0,"(-1,2.5]","(-0.1,0.125]",0,6,TRUE,TRUE,TRUE,TRUE,-1,35.40133174641438,6.987581410654166
1,10,0.566666667,7,17.00000001,"(7.5,12.5]","(0.51,0.755]",0.5,10,FALSE,FALSE,FALSE,FALSE,41.00000003,1.4285714285714286,41.00000003
2,15,0.422222222,7,18.99999999,"(12.5,17.5]","(0.325,0.51]",0.566666667,10,FALSE,FALSE,FALSE,FALSE,41.99999997,2.0408163265306123,70.699999991
3,10,0.366666667,7,11.000000009999999,"(7.5,12.5]","(0.325,0.51]",0.422222222,15,FALSE,FALSE,FALSE,FALSE,23.000000029999995,2.9154518950437325,72.49000002369999
4,7,0.285714286,7,6.0000000060000005,"(2.5,7.5]","(0.125,0.325]",0.366666667,10,TRUE,TRUE,FALSE,FALSE,11.000000018000001,4.164931278633904,61.74300003459
5,10,0.333333333,7,9.999999990000001,"(7.5,12.5]","(0.325,0.51]",0.285714286,7,FALSE,FALSE,TRUE,TRUE,19.999999970000005,5.949901826619863,63.220099994212994
6,10,0.333333333,7,9.999999990000001,"(7.5,12.5]","(0.325,0.51]",0.333333333,10,FALSE,FALSE,FALSE,FALSE,19.999999970000005,8.49985975231409,64.25406996594911
7,13,0.41025641,7,15.99999999,"(12.5,17.5]","(0.325,0.51]",0.333333333,10,FALSE,FALSE,FALSE,FALSE,34.99999997,12.14265678902013,79.97784894616437
8,10,0.3,7,9,"(7.5,12.5]","(0.125,0.325]",0.41025641,13,TRUE,FALSE,FALSE,FALSE,17,17.34665255574304,72.98449426231507
9,3,0,7,0,"(2.5,7.5]","(-0.1,0.125]",0.3,10,TRUE,TRUE,TRUE,FALSE,-3,24.780932222490062,48.08914598362053
10,5,0,7,0,"(2.5,7.5]","(-0.1,0.125]",0,3,TRUE,TRUE,TRUE,TRUE,-5,35.40133174641438,28.66240218853437
1,10,0.166666667,8,5.00000001,"(7.5,12.5]","(0.125,0.325]",0.5,10,TRUE,FALSE,FALSE,FALSE,5.000000029999999,1.4285714285714286,5.000000029999999
2,5,0.2,8,3.0000000000000004,"(2.5,7.5]","(0.125,0.325]",0.166666667,10,TRUE,TRUE,TRUE,FALSE,4.000000000000002,2.0408163265306123,7.500000021
3,6,0.166666667,8,3.0000000059999996,"(2.5,7.5]","(0.125,0.325]",0.2,5,TRUE,TRUE,TRUE,TRUE,3.000000017999998,2.9154518950437325,8.250000032699997
4,3,0.777777778,8,7.000000002,"(2.5,7.5]","(0.755,1.1]",0.166666667,6,FALSE,TRUE,TRUE,TRUE,18.000000006,4.164931278633904,23.77500002889
5,6,0.333333333,8,5.999999994,"(2.5,7.5]","(0.325,0.51]",0.777777778,3,FALSE,TRUE,FALSE,TRUE,11.999999982000002,5.949901826619863,28.642500002222995
6,8,0.208333333,8,4.999999992,"(7.5,12.5]","(0.125,0.325]",0.333333333,6,TRUE,TRUE,FALSE,TRUE,6.999999976000002,8.49985975231409,27.0497499775561
7,5,0.2,8,3.0000000000000004,"(2.5,7.5]","(0.125,0.325]",0.208333333,8,TRUE,TRUE,TRUE,TRUE,4.000000000000002,12.14265678902013,22.934824984289268
8,3,0.111111111,8,0.999999999,"(2.5,7.5]","(-0.1,0.125]",0.2,5,TRUE,TRUE,TRUE,TRUE,-2.999999804131903e-9,17.34665255574304,16.05437748600249
9,5,0,8,0,"(2.5,7.5]","(-0.1,0.125]",0.111111111,3,TRUE,TRUE,TRUE,TRUE,-5,24.780932222490062,6.238064240201742
10,6,0.055555556,8,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0,5,TRUE,TRUE,TRUE,TRUE,-2.999999976,35.40133174641438,1.3666449921412187
1,5,0,9,0,"(2.5,7.5]","(-0.1,0.125]",0.5,10,TRUE,TRUE,FALSE,FALSE,-5,1.4285714285714286,-5
2,6,0.055555556,9,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0,5,TRUE,TRUE,TRUE,TRUE,-2.999999976,2.0408163265306123,-6.499999975999999
3,7,0.095238095,9,1.9999999949999996,"(2.5,7.5]","(-0.1,0.125]",0.055555556,6,TRUE,TRUE,TRUE,TRUE,-1.0000000150000012,2.9154518950437325,-5.5499999982
4,4,0.083333333,9,0.9999999959999999,"(2.5,7.5]","(-0.1,0.125]",0.095238095,7,TRUE,TRUE,TRUE,TRUE,-1.000000012,4.164931278633904,-4.88500001074
5,3,0,9,0,"(2.5,7.5]","(-0.1,0.125]",0.083333333,4,TRUE,TRUE,TRUE,TRUE,-3,5.949901826619863,-6.419500007517999
6,2,0,9,0,"(-1,2.5]","(-0.1,0.125]",0,3,TRUE,TRUE,TRUE,TRUE,-2,8.49985975231409,-6.4936500052626
7,4,0,9,0,"(2.5,7.5]","(-0.1,0.125]",0,2,TRUE,TRUE,TRUE,TRUE,-4,12.14265678902013,-8.54555500368382
8,6,0.055555556,9,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0,4,TRUE,TRUE,TRUE,TRUE,-2.999999976,17.34665255574304,-8.981888478578673
9,3,0,9,0,"(2.5,7.5]","(-0.1,0.125]",0.055555556,6,TRUE,TRUE,TRUE,TRUE,-3,24.780932222490062,-9.287321935005071
10,3,0,9,0,"(2.5,7.5]","(-0.1,0.125]",0,3,TRUE,TRUE,TRUE,TRUE,-3,35.40133174641438,-9.501125354503548
1,7,0.19047619,10,3.999999989999999,"(2.5,7.5]","(0.125,0.325]",0.5,10,TRUE,TRUE,FALSE,FALSE,4.9999999699999975,1.4285714285714286,4.9999999699999975
2,10,0.433333333,10,12.99999999,"(7.5,12.5]","(0.325,0.51]",0.19047619,7,FALSE,FALSE,TRUE,TRUE,28.999999969999998,2.0408163265306123,32.49999994899999
3,4,0.083333333,10,0.9999999959999999,"(2.5,7.5]","(-0.1,0.125]",0.433333333,10,TRUE,TRUE,FALSE,FALSE,-1.000000012,2.9154518950437325,21.74999995229999
4,13,0.051282051,10,1.9999999890000002,"(12.5,17.5]","(-0.1,0.125]",0.083333333,4,TRUE,FALSE,TRUE,TRUE,-7.000000032999999,4.164931278633904,8.224999933609995
5,8,0.166666667,10,4.000000008,"(7.5,12.5]","(0.125,0.325]",0.051282051,13,TRUE,TRUE,TRUE,FALSE,4.000000023999998,5.949901826619863,9.757499977526994
6,5,0.133333333,10,1.999999995,"(2.5,7.5]","(0.125,0.325]",0.166666667,8,TRUE,TRUE,TRUE,TRUE,0.9999999850000005,8.49985975231409,7.830249969268897
7,6,0.055555556,10,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0.133333333,5,TRUE,TRUE,TRUE,TRUE,-2.999999976,12.14265678902013,2.4811750024882273
8,18,0.037037037,10,1.9999999980000003,"(17.5,21]","(-0.1,0.125]",0.055555556,6,TRUE,FALSE,TRUE,TRUE,-12.000000005999999,17.34665255574304,-10.26317750425824
9,1,0.333333333,10,0.999999999,"(-1,2.5]","(0.325,0.51]",0.037037037,18,FALSE,TRUE,TRUE,FALSE,1.9999999970000002,24.780932222490062,-5.184224255980768
10,2,0.333333333,10,1.999999998,"(-1,2.5]","(0.325,0.51]",0.333333333,1,FALSE,TRUE,FALSE,TRUE,3.9999999940000004,35.40133174641438,0.371043014813464
1,12,0,11,0,"(7.5,12.5]","(-0.1,0.125]",0.5,10,TRUE,FALSE,FALSE,FALSE,-12,1.4285714285714286,-11.999999999999998
2,4,0.5,11,6,"(2.5,7.5]","(0.325,0.51]",0,12,FALSE,TRUE,TRUE,FALSE,14,2.0408163265306123,5.6000000000000005
3,7,0.380952381,11,8.000000001,"(2.5,7.5]","(0.325,0.51]",0.5,4,FALSE,TRUE,FALSE,TRUE,17.000000003,2.9154518950437325,20.920000003
4,6,0.055555556,11,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0.380952381,7,TRUE,TRUE,FALSE,TRUE,-2.999999976,4.164931278633904,11.644000026099999
5,3,0,11,0,"(2.5,7.5]","(-0.1,0.125]",0.055555556,6,TRUE,TRUE,TRUE,TRUE,-3,5.949901826619863,5.150800018269998
6,2,0,11,0,"(-1,2.5]","(-0.1,0.125]",0,3,TRUE,TRUE,TRUE,TRUE,-2,8.49985975231409,1.605560012788999
7,3,0.666666667,11,6.000000003,"(2.5,7.5]","(0.51,0.755]",0,2,FALSE,TRUE,TRUE,TRUE,15.000000009,12.14265678902013,16.1238920179523
8,5,0,11,0,"(2.5,7.5]","(-0.1,0.125]",0.666666667,3,TRUE,TRUE,FALSE,TRUE,-5,17.34665255574304,6.28672441256661
9,1,0.333333333,11,0.999999999,"(-1,2.5]","(0.325,0.51]",0,5,FALSE,TRUE,TRUE,TRUE,1.9999999970000002,24.780932222490062,6.400707085796626
10,0,0,11,0,"(-1,2.5]","(-0.1,0.125]",0.333333333,1,TRUE,TRUE,FALSE,TRUE,0,35.40133174641438,4.480494960057638
1,12,0.416666667,12,15.000000012000001,"(7.5,12.5]","(0.325,0.51]",0.5,10,FALSE,FALSE,FALSE,FALSE,33.000000036,1.4285714285714286,33.000000036
2,14,0.428571429,12,18.000000018,"(12.5,17.5]","(0.325,0.51]",0.416666667,12,FALSE,FALSE,FALSE,FALSE,40.000000054000004,2.0408163265306123,63.100000079199994
3,14,0.428571429,12,18.000000018,"(12.5,17.5]","(0.325,0.51]",0.428571429,14,FALSE,FALSE,FALSE,FALSE,40.000000054000004,2.9154518950437325,84.17000010944
4,15,0.444444444,12,19.999999980000002,"(12.5,17.5]","(0.325,0.51]",0.428571429,14,FALSE,FALSE,FALSE,FALSE,44.99999994000001,4.164931278633904,103.91900001660801
5,20,0.516666667,12,31.000000019999998,"(17.5,21]","(0.51,0.755]",0.444444444,15,FALSE,FALSE,FALSE,FALSE,73.00000005999999,5.949901826619863,145.74330007162558
6,20,0.5,12,30,"(17.5,21]","(0.325,0.51]",0.516666667,20,FALSE,FALSE,FALSE,FALSE,70,8.49985975231409,172.02031005013794
7,20,0.5,12,30,"(17.5,21]","(0.325,0.51]",0.5,20,FALSE,FALSE,FALSE,FALSE,70,12.14265678902013,190.41421703509656
8,20,0.5,12,30,"(17.5,21]","(0.325,0.51]",0.5,20,FALSE,FALSE,FALSE,FALSE,70,17.34665255574304,203.28995192456756
9,20,0.5,12,30,"(17.5,21]","(0.325,0.51]",0.5,20,FALSE,FALSE,FALSE,FALSE,70,24.780932222490062,212.3029663471973
10,20,0.5,12,30,"(17.5,21]","(0.325,0.51]",0.5,20,FALSE,FALSE,FALSE,FALSE,70,35.40133174641438,218.6120764430381
1,17,0.392156863,13,20.000000013,"(12.5,17.5]","(0.325,0.51]",0.5,10,FALSE,FALSE,FALSE,FALSE,43.000000039,1.4285714285714286,43.00000003899999
2,10,0.4,13,12.000000000000002,"(7.5,12.5]","(0.325,0.51]",0.392156863,17,FALSE,FALSE,FALSE,FALSE,26.000000000000007,2.0408163265306123,56.1000000273
3,11,0.393939394,13,13.000000002,"(7.5,12.5]","(0.325,0.51]",0.4,10,FALSE,FALSE,FALSE,FALSE,28.000000006,2.9154518950437325,67.27000002511
4,18,0.388888889,13,21.000000006,"(17.5,21]","(0.325,0.51]",0.393939394,11,FALSE,FALSE,FALSE,FALSE,45.000000018,4.164931278633904,92.089000035577
5,18,0.388888889,13,21.000000006,"(17.5,21]","(0.325,0.51]",0.388888889,18,FALSE,FALSE,FALSE,FALSE,45.000000018,5.949901826619863,109.46230004290389
6,19,0.385964912,13,21.999999984000002,"(17.5,21]","(0.325,0.51]",0.388888889,18,FALSE,FALSE,FALSE,FALSE,46.99999995200001,8.49985975231409,123.62360998203276
7,12,0.388888889,13,14.000000004,"(7.5,12.5]","(0.325,0.51]",0.385964912,19,FALSE,FALSE,FALSE,FALSE,30.000000012,12.14265678902013,116.53652699942292
8,9,0.407407407,13,10.999999988999999,"(7.5,12.5]","(0.325,0.51]",0.388888889,12,FALSE,TRUE,FALSE,FALSE,23.999999966999994,17.34665255574304,105.57556886659603
9,10,0.4,13,12.000000000000002,"(7.5,12.5]","(0.325,0.51]",0.407407407,9,FALSE,FALSE,FALSE,TRUE,26.000000000000007,24.780932222490062,99.90289820661722
10,9,0.185185185,13,4.999999995,"(7.5,12.5]","(0.125,0.325]",0.4,10,TRUE,TRUE,FALSE,FALSE,5.999999984999999,35.40133174641438,75.93202872963204
1,5,0.333333333,14,4.9999999950000005,"(2.5,7.5]","(0.325,0.51]",0.5,10,FALSE,TRUE,FALSE,FALSE,9.999999985000002,1.4285714285714286,9.999999985000002
2,10,0.333333333,14,9.999999990000001,"(7.5,12.5]","(0.325,0.51]",0.333333333,5,FALSE,FALSE,FALSE,TRUE,19.999999970000005,2.0408163265306123,26.999999959500002
3,4,0.166666667,14,2.000000004,"(2.5,7.5]","(0.125,0.325]",0.333333333,10,TRUE,TRUE,FALSE,FALSE,2.000000011999999,2.9154518950437325,20.89999998365
4,3,0.666666667,14,6.000000003,"(2.5,7.5]","(0.51,0.755]",0.166666667,4,FALSE,TRUE,TRUE,TRUE,15.000000009,4.164931278633904,29.629999997555004
5,7,0.333333333,14,6.999999993,"(2.5,7.5]","(0.325,0.51]",0.666666667,3,FALSE,TRUE,FALSE,TRUE,13.999999979000002,5.949901826619863,34.7409999772885
6,5,0.333333333,14,4.9999999950000005,"(2.5,7.5]","(0.325,0.51]",0.333333333,7,FALSE,TRUE,FALSE,TRUE,9.999999985000002,8.49985975231409,34.31869996910196
7,6,0.055555556,14,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0.333333333,5,TRUE,TRUE,FALSE,TRUE,-2.999999976,12.14265678902013,21.023090002371365
8,8,0.041666667,14,1.000000008,"(7.5,12.5]","(-0.1,0.125]",0.055555556,6,TRUE,TRUE,TRUE,TRUE,-4.999999976,17.34665255574304,9.716163025659958
9,5,0,14,0,"(2.5,7.5]","(-0.1,0.125]",0.041666667,8,TRUE,TRUE,TRUE,TRUE,-5,24.780932222490062,1.8013141179619694
10,10,0.033333333,14,0.9999999900000001,"(7.5,12.5]","(-0.1,0.125]",0,5,TRUE,FALSE,TRUE,TRUE,-7.00000003,35.40133174641438,-5.739080147426621
1,20,0.25,15,15,"(17.5,21]","(0.125,0.325]",0.5,10,TRUE,FALSE,FALSE,FALSE,25,1.4285714285714286,25
2,10,0.2,15,6.000000000000001,"(7.5,12.5]","(0.125,0.325]",0.25,20,TRUE,FALSE,TRUE,FALSE,8.000000000000004,2.0408163265306123,25.5
3,7,0.238095238,15,4.999999998,"(2.5,7.5]","(0.125,0.325]",0.2,10,TRUE,TRUE,TRUE,FALSE,7.9999999939999995,2.9154518950437325,25.849999993999997
4,10,0.166666667,15,5.00000001,"(7.5,12.5]","(0.125,0.325]",0.238095238,7,TRUE,FALSE,TRUE,TRUE,5.000000029999999,4.164931278633904,23.095000025799997
5,0,0,15,0,"(-1,2.5]","(-0.1,0.125]",0.166666667,10,TRUE,TRUE,TRUE,FALSE,0,5.949901826619863,16.166500018059995
6,5,0,15,0,"(2.5,7.5]","(-0.1,0.125]",0,0,TRUE,TRUE,TRUE,TRUE,-5,8.49985975231409,6.316550012641996
7,4,0,15,0,"(2.5,7.5]","(-0.1,0.125]",0,5,TRUE,TRUE,TRUE,TRUE,-4,12.14265678902013,0.4215850088493972
8,3,0,15,0,"(2.5,7.5]","(-0.1,0.125]",0,4,TRUE,TRUE,TRUE,TRUE,-3,17.34665255574304,-2.7048904938054217
9,2,0,15,0,"(-1,2.5]","(-0.1,0.125]",0,3,TRUE,TRUE,TRUE,TRUE,-2,24.780932222490062,-3.893423345663795
10,1,0,15,0,"(-1,2.5]","(-0.1,0.125]",0,2,TRUE,TRUE,TRUE,TRUE,-1,35.40133174641438,-3.725396341964656
1,9,0.37037037,16,9.99999999,"(7.5,12.5]","(0.325,0.51]",0.5,10,FALSE,TRUE,FALSE,FALSE,20.999999969999998,1.4285714285714286,20.999999969999998
2,12,0.166666667,16,6.000000011999999,"(7.5,12.5]","(0.125,0.325]",0.37037037,9,TRUE,FALSE,FALSE,TRUE,6.000000035999996,2.0408163265306123,20.700000014999993
3,8,0.333333333,16,7.999999992,"(7.5,12.5]","(0.325,0.51]",0.166666667,12,FALSE,TRUE,TRUE,FALSE,15.999999976000002,2.9154518950437325,30.489999986499992
4,10,0.333333333,16,9.999999990000001,"(7.5,12.5]","(0.325,0.51]",0.333333333,8,FALSE,FALSE,FALSE,TRUE,19.999999970000005,4.164931278633904,41.34299996055
5,9,0,16,0,"(7.5,12.5]","(-0.1,0.125]",0.333333333,10,TRUE,TRUE,FALSE,FALSE,-9,5.949901826619863,19.940099972385
6,6,0.055555556,16,1.000000008,"(2.5,7.5]","(-0.1,0.125]",0,9,TRUE,TRUE,TRUE,TRUE,-2.999999976,8.49985975231409,10.9580700046695
7,5,0,16,0,"(2.5,7.5]","(-0.1,0.125]",0.055555556,6,TRUE,TRUE,TRUE,TRUE,-5,12.14265678902013,2.670649003268648
8,6,0.111111111,16,1.999999998,"(2.5,7.5]","(-0.1,0.125]",0,5,TRUE,TRUE,TRUE,TRUE,-5.999999608263806e-9,17.34665255574304,1.869454296288054
9,8,0,16,0,"(7.5,12.5]","(-0.1,0.125]",0.111111111,6,TRUE,TRUE,TRUE,TRUE,-8,24.780932222490062,-6.691381992598362
10,1,0,16,0,"(-1,2.5]","(-0.1,0.125]",0,8,TRUE,TRUE,TRUE,TRUE,-1,35.40133174641438,-5.683967394818852
1,13,0.128205128,17,4.999999992,"(12.5,17.5]","(0.125,0.325]",0.5,10,TRUE,FALSE,FALSE,FALSE,1.9999999760000016,1.4285714285714286,1.9999999760000016
